ACTEU;AGE;DDIPL;IDENT;NOI;SALMEE;SEXE;TPP
3;63;7;G1R1MNWX;01;;2;
1;63;7;G1R1MNXX;01;;1;2
1;60;7;G1R1MNXX;02;;2;2
3;21;4;G1R1MNXX;03;;2;
1;46;7;G1R1MQMX;01;400;2;2
1;46;7;G1R1MQMX;02;1253;1;1
1;17;6;G1R1MQMX;03;505;2;2
1;45;1;G1R1MQNX;01;2352;1;1
3;34;1;G1R1MQNX;02;;2;
1;35;7;G1R1MQOX;01;1041;2;1
1;42;7;G1R1MQOX;02;2497;1;1
1;16;6;G1R1MQOX;03;200;2;2
2;39;4;G1R1MQPX;01;;1;
1;32;4;G1R1MQPX;02;950;2;2
3;61;5;G1R1MQQX;01;;2;
3;70;7;G1R1MQQX;02;;1;
3;83;7;G1R1MTDX;01;;2;
3;50;6;G1R1MTIX;01;;2;
1;50;6;G1R1MTIX;02;5000;1;1
1;36;7;G1T1R2GX;01;;1;1
1;33;4;G1T1R2IX;01;;1;1
1;31;3;G1T1R2IX;02;;2;1
3;46;1;G1T1R2KX;01;;2;
3;16;6;G1T1R2KX;02;;2;
1;49;7;G1T1R2KX;03;;1;1
3;18;6;G1T1R2KX;04;;1;
1;33;4;G1T1R2LX;01;;2;1
1;36;7;G1T1R2MX;01;;1;1
1;27;4;G1T1R2OX;01;;2;1
1;32;4;G1T1R2QX;01;;2;1
1;35;7;G1T1R2QX;02;;1;1
1;55;3;G1T1R2TX;01;;1;2
1;47;6;G1T1R2TX;02;;2;2
1;35;7;G1T1R2UX;01;;1;3
1;38;5;G1T1R2WX;01;;1;1
1;32;4;G1T1R2XX;01;;1;1
1;27;4;G1T1R2YX;01;;1;1
1;28;1;G1T1R2YX;02;;2;1
1;32;7;G1T1R2ZX;01;;1;1
3;60;7;G1U1WJPX;01;;2;
1;63;7;G1U1WJPX;02;;1;3
3;71;7;G1U1WMHX;01;;1;
3;61;7;G1U1WMHX;02;;2;
3;82;7;G1U1WS1X;01;;1;
3;69;7;G1U1WS1X;02;;2;
3;43;4;G1U1WS1X;03;;1;
3;41;6;G1U1WS1X;04;;2;
1;55;7;G1U1WUTX;01;;1;3
3;52;7;G1U1WUTX;02;;2;
3;59;7;G1U1WUUX;01;;2;
3;38;7;G1U1WUVX;01;;1;
3;35;7;G1U1WUVX;02;;2;
